Serie,Data,Projecao,IC_inferior,IC_superior
PSR (todas as capitais),2025-01-01,45.802308673247836,45.44461084002817,46.16000650646751
PSR (todas as capitais),2025-02-01,46.21370795811093,45.65691021748457,46.770505698737296
PSR (todas as capitais),2025-03-01,46.625107242974025,45.86920959494098,47.38100489100707
PSR (todas as capitais),2025-04-01,47.03650652783712,46.08150897239739,47.99150408327685
PSR (todas as capitais),2025-05-01,47.44790581270021,46.29380834985379,48.60200327554663
PSR (todas as capitais),2025-06-01,47.85930509756331,46.506107727310194,49.212502467816414
PSR (todas as capitais),2025-07-01,48.270704382426395,46.7184071047666,49.82300166008619
PSR (todas as capitais),2025-08-01,48.68210366728949,46.93070648222301,50.43350085235597
PSR (todas as capitais),2025-09-01,49.09350295215259,47.14300585967942,51.044000044625754
PSR (todas as capitais),2025-10-01,49.50490223701568,47.35530523713582,51.65449923689553
PSR (todas as capitais),2025-11-01,49.916301521878765,47.56760461459223,52.26499842916531
PSR (todas as capitais),2025-12-01,50.32770080674186,47.77990399204863,52.875497621435095
PSR (todas as capitais),2026-01-01,50.73910009160495,47.992203369505035,53.48599681370487
PSR (todas as capitais),2026-02-01,51.15049937646805,48.204502746961445,54.09649600597465
PSR (todas as capitais),2026-03-01,51.56189866133114,48.41680212441785,54.70699519824443
PSR (todas as capitais),2026-04-01,51.973297946194236,48.62910150187426,55.31749439051421
PSR (todas as capitais),2026-05-01,52.38469723105733,48.841400879330664,55.92799358278399
PSR (todas as capitais),2026-06-01,52.79609651592042,49.05370025678707,56.53849277505377
PSR (todas as capitais),2026-07-01,53.20749580078351,49.26599963424347,57.14899196732355
PSR (todas as capitais),2026-08-01,53.6188950856466,49.478299011699875,57.75949115959333
PSR (todas as capitais),2026-09-01,54.030294370509694,49.690598389156285,58.36999035186311
PSR (todas as capitais),2026-10-01,54.441693655372795,49.902897766612696,58.980489544132894
PSR (todas as capitais),2026-11-01,54.85309294023588,50.1151971440691,59.59098873640267
PSR (todas as capitais),2026-12-01,55.26449222509898,50.327496521525504,60.20148792867245
PSR (todas as capitais),2027-01-01,55.67589150996207,50.53979589898191,60.81198712094223
PSR (todas as capitais),2027-02-01,56.087290794825165,50.75209527643831,61.42248631321201
PSR (todas as capitais),2027-03-01,56.49869007968826,50.96439465389472,62.03298550548179
PSR (todas as capitais),2027-04-01,56.91008936455135,51.176694031351126,62.64348469775157
PSR (todas as capitais),2027-05-01,57.32148864941445,51.388993408807536,63.25398389002135
PSR (todas as capitais),2027-06-01,57.732887934277535,51.60129278626394,63.86448308229113
PSR (todas as capitais),2027-07-01,58.14428721914063,51.813592163720344,64.47498227456092
PSR (todas as capitais),2027-08-01,58.55568650400372,52.02589154117675,65.08548146683069
PSR (todas as capitais),2027-09-01,58.96708578886681,52.23819091863315,65.69598065910047
PSR (todas as capitais),2027-10-01,59.37848507372991,52.45049029608957,66.30647985137026
PSR (todas as capitais),2027-11-01,59.789884358593,52.66278967354597,66.91697904364003
PSR (todas as capitais),2027-12-01,60.201283643456094,52.87508905100238,67.52747823590981
PSR (todas as capitais),2028-01-01,60.61268292831918,53.08738842845878,68.13797742817958
PSR (todas as capitais),2028-02-01,61.024082213182275,53.299687805915184,68.74847662044937
PSR (todas as capitais),2028-03-01,61.43548149804537,53.51198718337159,69.35897581271915
PSR (todas as capitais),2028-04-01,61.84688078290846,53.72428656082799,69.96947500498892
PSR (todas as capitais),2028-05-01,62.25828006777156,53.93658593828441,70.57997419725871
PSR (todas as capitais),2028-06-01,62.66967935263465,54.14888531574081,71.19047338952849
PSR (todas as capitais),2028-07-01,63.08107863749774,54.36118469319722,71.80097258179826
PSR (todas as capitais),2028-08-01,63.492477922360834,54.57348407065362,72.41147177406805
PSR (todas as capitais),2028-09-01,63.90387720722393,54.785783448110024,73.02197096633783
PSR (todas as capitais),2028-10-01,64.31527649208701,54.99808282556643,73.6324701586076
PSR (todas as capitais),2028-11-01,64.72667577695012,55.210382203022846,74.24296935087739
PSR (todas as capitais),2028-12-01,65.13807506181321,55.42268158047925,74.85346854314717
Mulheres PSR,2025-01-01,16.592508374536916,16.429843547155777,16.755173201918055
Mulheres PSR,2025-02-01,16.436339403079003,15.884768480990354,16.987910325167654
Mulheres PSR,2025-03-01,15.33292653732885,13.445205626240448,17.220647448417253
Mulheres PSR,2025-04-01,16.2029384513542,14.952492331041551,17.453384571666852
Mulheres PSR,2025-05-01,16.520391427042412,15.35466115916837,17.68612169491645
Mulheres PSR,2025-06-01,16.83784440273062,15.75682998729519,17.91885881816605
Mulheres PSR,2025-07-01,16.52380144889067,14.896006956365689,18.15159594141565
Mulheres PSR,2025-08-01,16.9201914157699,15.456049766874546,18.38433306466525
Mulheres PSR,2025-09-01,17.632329347413208,16.647588506911568,18.617070187914848
Mulheres PSR,2025-10-01,17.318286393573256,15.786765475982065,18.849807311164447
Mulheres PSR,2025-11-01,17.556802378070444,16.031060321726844,19.082544434414043
Mulheres PSR,2025-12-01,17.716381371376613,16.117481185089584,19.315281557663642
Mulheres PSR,2026-01-01,17.76309281719641,15.97816695347958,19.54801868091324
Mulheres PSR,2026-02-01,17.965698396198924,16.150640988235008,19.78075580416284
Mulheres PSR,2026-03-01,18.317849141080426,16.622205354748413,20.01349292741244
Mulheres PSR,2026-04-01,18.35844745704737,16.4706648634327,20.24623005066204
Mulheres PSR,2026-05-01,18.48628045311039,16.493593732309137,20.478967173911638
Mulheres PSR,2026-06-01,18.61411344917341,16.516522601185578,20.711704297161237
Mulheres PSR,2026-07-01,18.841643222489086,16.738845024567336,20.944441420410836
Mulheres PSR,2026-08-01,18.957014121395524,16.736849699130612,21.177178543660435
Mulheres PSR,2026-09-01,19.022536631675628,16.635157596441225,21.409915666910035
Mulheres PSR,2026-10-01,19.25006640499131,16.857480019822983,21.642652790159634
Mulheres PSR,2026-11-01,19.39036149821091,16.90533308301259,21.875389913409233
Mulheres PSR,2026-12-01,19.543118688587093,16.978110340515357,22.108127036658832
Mulheres PSR,2027-01-01,19.713694728166647,17.086525296424863,22.34086415990843
Mulheres PSR,2027-02-01,19.859659140110647,17.145716997063264,22.57360128315803
Mulheres PSR,2027-03-01,19.98201426117135,17.15769011593507,22.80633840640763
Mulheres PSR,2027-04-01,20.15355540490559,17.26803528015395,23.03907552965723
Mulheres PSR,2027-05-01,20.31132446229124,17.350836271675647,23.271812652906828
Mulheres PSR,2027-06-01,20.46909351967689,17.433637263197348,23.504549776156427
Mulheres PSR,2027-07-01,20.611123049807006,17.48495920020798,23.737286899406026
