term,OR,std.error,statistic,p.value,IC_inferior,IC_superior,Significancia
sexoFeminino,2.554,0.05180306634839453,18.102251751497842,0,2.308,2.828,*
faixa_etaria0-17,0.776,0.3044426486647541,-0.8338384167079242,0.404,0.413,1.372,
faixa_etaria30-44,1.631,0.06246775686078532,7.835368819257485,0,1.444,1.845,*
faixa_etaria45-59,1.159,0.07253392323103375,2.0355502890704598,0.042,1.006,1.337,*
faixa_etaria60-69,0.686,0.15608749865506855,-2.4110524038871866,0.016,0.502,0.926,*
faixa_etaria70+,0.56,0.3616710624157056,-1.6046695554259374,0.109,0.261,1.092,
raca_corBranca,1.176,0.23535500977812834,0.68973994573330355,0.49,0.749,1.889,
raca_corIndigena,0.622,0.63392087999983,-0.7496897510243036,0.453,0.158,1.996,
raca_corParda,1.212,0.23411631610713904,0.8198813020839556,0.412,0.774,1.942,
raca_corPreta,1.263,0.23476846525067174,0.9930484941976844,0.321,0.805,2.026,
capitalRio de Janeiro,0.257,0.05453183133403354,-24.897155471389237,0,0.231,0.286,*
capitalSalvador,0.631,0.08181606315411356,-5.634086145586454,0,0.537,0.74,*
capitalVitoria,0.298,0.11004553689330147,-11.001267030086012,0,0.239,0.369,*
tendencia,1.12,0.06954130493914898,1.6248376205178667,0.104,0.977,1.283,
uso_drogasTRUE,1.489,0.05507113846846139,7.2233159375963,0,1.337,1.659,*
tabagismoTRUE,0.826,0.04915933066565813,-3.8933526736919726,0,0.75,0.909,*
