term,OR,std.error,statistic,p.value,IC_inferior,IC_superior,Significancia
sexoFeminino,2.632,0.05137307323280521,18.83976694819541,0,2.38,2.912,*
faixa_etaria0-17,0.738,0.30441293945238945,-1.0000003018359307,0.317,0.393,1.304,
faixa_etaria30-44,1.613,0.06214453335972789,7.696173384919465,0,1.429,1.823,*
faixa_etaria45-59,1.074,0.0715139854651817,0.9950878118090237,0.32,0.934,1.236,
faixa_etaria60-69,0.574,0.1538716875815966,-3.609233958759618,0,0.421,0.771,*
faixa_etaria70+,0.453,0.3597321038152307,-2.2036724873256888,0.028,0.212,0.879,*
raca_corBranca,1.181,0.2339181657532612,0.7119984493912386,0.476,0.754,1.892,
raca_corIndigena,0.628,0.6306035378254217,-0.7376382436096591,0.461,0.161,2.003,
raca_corParda,1.23,0.23263224639542274,0.8902315137915938,0.373,0.788,1.967,
raca_corPreta,1.292,0.23333599695391027,1.0981003466281696,0.272,0.826,2.068,
capitalRio de Janeiro,0.258,0.05424953654959112,-24.957605589123116,0,0.232,0.287,*
capitalSalvador,0.626,0.08030445435541868,-5.8313466498003,0,0.535,0.732,*
capitalVitoria,0.291,0.10848418779346924,-11.384971929427676,0,0.234,0.359,*
tendencia,1.159,0.06872123617615428,2.144498498304179,0.032,1.013,1.326,*
